artist,song,video
 Weekend ," Coma Summer
",SPREADtheGOOD
  Adrian Younge ," Psalms (Instrumental)
",GX1000
  Three Six Mafia ," Anyone Out There (Instrumental)
",GX1000
 Max Roach , All Africa,Tengu: God Of Mischief
 Charles Mingus , Haitian Fight Song,Tengu: God Of Mischief
 Derrick Harriot , Monkey Ska,Kriza 4 Life
 Bajaga , Muzika Na Struju,Kriza 4 Life
 Lily Allen , LDN,Kriza 4 Life
 The Broken West , Down In The Valley,Cosmic Vomit
 Crocodiles , I Wanna Kill,Cosmic Vomit
 The Soft Pack , Extinction,Cosmic Vomit
 Slippers , 329,411VM - Vancouver 2000
 Errortype: 11 , Fra P.,411VM - Vancouver 2000
 Bruce Springsteen , Dancing In The Dark,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Thin Lizzy , Whiskey In The Jar,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Donovan , Riki Tiki Tavi,Satori - Mapping Time In Space
 Simaryp , Skinhead Moonstomp,Satori - Mapping Time In Space
  GG Allin , You Hate Me and I Hate You,Hated - Fuck Life
 John Lennon , Imagine,Digital - Imagine
 The Beatles , A Day In The Life,Funhouse 3
 Witch , Changing,Slave - Radio Television
 MC5 , Over and Over,Slave - Radio Television
 GOD , My Pal,Slave - Radio Television
 Sonic Youth , Titanium Expos,Toy Machine - Welcome To Hell
 Iron Maiden , Hallowed Be Thy Name,Toy Machine - Welcome To Hell
 Tom Petty & The Heartbreakers , Running Down A Dream,ON Video - Summer 2001
  Green Day , Espionage,Real - Kicked Out Of Everywhere
  Green Day , Take Back,Real - Kicked Out Of Everywhere
 Jacuzzi Boys , Island aveneue,SPREADtheGOOD
 Generationals ," When They Fight, They Fight
",SPREADtheGOOD
  Busta Rhymes ," Everything Remains Raw
",GX1000
  Chef Raekwon ," Ice Water
",GX1000
  Adrian Younge ," 1969 Organ
",GX1000
 Aaron Jerome , Wonderlust,Hello21 - Issue 2
 Pendulum , Tarantula,Hello21 - Issue 2
 Buckshot LeFonque , ### Breakfast @ Denny's (Uptown Version),Tengu: God Of Mischief
 ESG , U.F.O.,Tengu: God Of Mischief
 Sonja Gaberscek , Pilula Za Sreco,Kriza 4 Life
 Edwin Starr , War,Kriza 4 Life
 GU GU , Mi Mamo Se Fajn,Kriza 4 Life
 Dan Auerbach , Whispered Words,Cosmic Vomit
 The Concretes , Sunsets,Cosmic Vomit
 Bob Dylan , Hurricane,411VM - Vancouver 2000
 The Rentals , Getting By,411VM - Vancouver 2000
 Murs , Simple,411VM - Vancouver 2000
 The People Under the Stairs , Schooled in the Trade,411VM - Vancouver 2000
 Wu,Tang Clan ,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Lee Perry , Sipreano,Satori - Mapping Time In Space
 Pink Floyd , Eclipse,Funhouse 3
 The Small Faces , Tin Soldier,Funhouse 3
 Dark , Zero Time,Slave - Radio Television
 The Rolling Stones , 2000 Lightyears From Home,Slave - Radio Television
 Santana , Samba Pa Ti,Toy Machine - Welcome To Hell
 Nappy Roots , Right Now,Toy Machine - Welcome To Hell
  Offspring , Mota,Oi!
  Kurgan , Sometimes,Oi!
  Kurgan , Capacity To Feel,Oi!
  Kurgan , Ron,Oi!
 Dj Mayonnase , Ode to the Modern Woman,ON Video - Summer 2001
 The Wiseguys , Cowboy '78,ON Video - Summer 2001
  Hiroshi Fujiwara , ?,Real - Kicked Out Of Everywhere
  Rancid , Journey To The End Of The East Bay,Real - Kicked Out Of Everywhere
  Sing Sing , Kane Dance,Skateboard Superstars
 Neon Manics , Electro Shock,The Way Of The West
 The Dictators , Faster And Louder,The Way Of The West
 Led Zeppelin ," The Girl I Love She Got Long Black Wavy Hair
",SPREADtheGOOD
 Greenhornes ," Can't Stand It
",SPREADtheGOOD
  Nina Simone , Feeling Good,GX1000
 Prozack Turner , Intro,Hello21 - Issue 2
 The Grit , Fear And Consumption,Hello21 - Issue 2
 El Michels Affair , Outro (Enter The 37th Chamber),Tengu: God Of Mischief
 KMD , Popcorn,Tengu: God Of Mischief
 Black Sabbath , After Forever,Cosmic Vomit
 The Beatles , Oh! Darling,Cosmic Vomit
 The Charlatans UK , My Beautiful Friend,411VM - Vancouver 2000
 Sinkhole , Dogstein,411VM - Vancouver 2000
 The The , This Is The day,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Billy May & His Orchestra , The Odd Couple,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 The Romantics , What I Like About You,Funhouse 3
 Louis Armstrong , What A Wonderful World,Slave - Radio Television
 Devo , S.I.B. (Swelling Itching Brain),Slave - Radio Television
 D.R.I. , Do The Dream,Toy Machine - Welcome To Hell
  One Inch Punch , Stupid Me,Oi!
  DI , Richard Hung Himself,Vision - Alphabet Soup
  Angry Samoans , Right Side Of My Mind,Vision - Alphabet Soup
 Take & 4,zone ,ON Video - Summer 2001
 Patchworks , Track #3,ON Video - Summer 2001
 Pelican City , Over From The Start,ON Video - Summer 2001
  Vinyl , Funk In 5,Real - Kicked Out Of Everywhere
  The Criminals , Parlez Vous (remix),Real - Kicked Out Of Everywhere
  Hiroshi Fujiwara , Getting Over You (Album Version),Real - Kicked Out Of Everywhere
 DJ Mutt , The Rabbi,Streets: Melbourne
  Joe Delia , Bump In The Night,Skateboard Superstars
  Robert Best & Jay Rifkin , Danger In The Streets,Skateboard Superstars
 The Cliftons , Gimme Nothing,The Way Of The West
 McRad , R.I.P. Andy,The Way Of The West
 McRad , Jocelyn,The Way Of The West
 Sol , The Box Car,"411VM - Volume 14, Issue 1"
 Solid State Revival , Step Into The Sun,"411VM - Volume 14, Issue 1"
 La Sera ," Never Come Around
",SPREADtheGOOD
 Dead Gaze ," Take Me Home Or I Die Alone
",SPREADtheGOOD
 Product 01 , Bullet Ride,Hello21 - Issue 4
 Box Codax , Missed Her Kiss,Hello21 - Issue 4
  The Bamboos , Pussy Footin,Hello21 - Issue 4
 Aceyalone , Disconnected,Hello21 - Issue 2
 Sound Provider , Intro,Hello21 - Issue 2
 Masaru Satoh & His Orchestra , Titles,Tengu: God Of Mischief
 PSG ,,Tengu: God Of Mischief
 The Warlocks , The Midnight Sun,Cosmic Vomit
 Billy Joel , Only The Good Die Young,Cosmic Vomit
 The Rentals , Jumping Around,411VM - Vancouver 2000
 Muse , Sunburn,411VM - Vancouver 2000
 Noogie , From Me,411VM - Vancouver 2000
 Big Daddy Kane ," Warm It Up, Kane",Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Animal Collective , Lion In A Coma,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 The Small Faces , Itchycoo Park,Funhouse 3
  Intermission , Offspring,Oi!
  One Inch Punch , Down Syndrome,Oi!
  Tender Fury , Dinning At Dianes,Vision - Alphabet Soup
  Diesel Queens , O S H,Vision - Alphabet Soup
  LAPD , P M S,Vision - Alphabet Soup
 Buck 65 , Pope,ON Video - Summer 2001
 DJ Mayonnaise , Sinful Strut,ON Video - Summer 2001
  Nirvana , Smells Like Teen Spirit,Sims - The 2nd Coming
  Germs , Media Blitz,Sims - The 2nd Coming
 Mophono , Did You,Streets: Melbourne
 Mophono , Back Up,Streets: Melbourne
  Sing Sing , Good Boy,Skateboard Superstars
  Sing Sing , Telling Me Stories,Skateboard Superstars
  Joe Delia , Skateboard Theme #2,Skateboard Superstars
 Western Addiction , When Good Friends Attack,The Way Of The West
 Down In Flames , Never Going Home,The Way Of The West
 The Catholic Comb , Sixteen To Twenty,"411VM - Volume 14, Issue 1"
 The Nucc , Never Ending Tunnel,"411VM - Volume 14, Issue 1"
 King Khan ," (How Can I Keep You) Outta Har
",SPREADtheGOOD
 Dom ," Jesus
",SPREADtheGOOD
  Der Tante Relate , 666 Deluxe,Hello21 - Issue 4
 The Bamboos , Step It Up (feat. Alice Russell),Hello21 - Issue 4
 Kollabo Brothers , For My Peoples,Hello21 - Issue 4
 Claus Grabke , Ode To My Solitude,Hello21 - Issue 2
 Breakestra , Hiding,Hello21 - Issue 2
 The Black Halos , Last Call At The Toothless Salon,Hello21 - Issue 2
 Clifford Brown , Cherokee,Tengu: God Of Mischief
 BADBADNOTGOOD , Flashing Lights,Tengu: God Of Mischief
 Berry White , You Sexy Thing,Cosmic Vomit
 A Silver Mount Zion , 1000000 Died To Make This Sound,Cosmic Vomit
 The Doors , Tell All The People,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 GG Allin And The Jabber , Don't Talk To Me,Funhouse 3
  Fire , Mind Snare,Oi!
  Decadent Dub Team , (Give Up That) Gold,Vision - Alphabet Soup
  DI , Guns,Vision - Alphabet Soup
  Lifeline , Nothing To Lose,Vision - Alphabet Soup
 Tommy Guerrero And Gadget ," Weed On The Tree, Forty On The Floor",ON Video - Summer 2001
 Fugazi , Afterthought,ON Video - Summer 2001
 People Under The Stairs , Time To Rock,ON Video - Summer 2001
 Ming And Fs , Human Condition,Environment
 Palmskin Productions , In A Silent Way,"411VM - Best Of 411, Volume 2"
 Pegboy , Never A Question,"411VM - Best Of 411, Volume 2"
 Gibb Droll , Melting Pot,411VM - Issue 1
 Gas Huffer , George Washington,411VM - Issue 1
  Peg Boy , Not What I Want,Sims - The 2nd Coming
  T.S.O.L. , Funeral March,Sims - The 2nd Coming
  Mudhoney , Good Enough,Foundation - The Good Times Are Killing Me
 DJ Mutt , Steamerzz,Streets: Melbourne
 DJ Mutt , Oooo Hhh Baby,Streets: Melbourne
 DJ Mutt , Body Shakin,Streets: Melbourne
" DJ Mutt, Dr Claw & Lethal",D,Streets: Melbourne
  Pablo Ortiz , Rock And Roll #6,Skateboard Superstars
 Clay Wheels , She Won't Take No For An Answer,The Way Of The West
 Dwarves , Dominator,The Way Of The West
 The Cliftons , I Love To Drink Beer,The Way Of The West
 DJ Who? The Smugla , Lone Riders Dub,"411VM - Volume 14, Issue 1"
 The Brian Jonestown Massacre , Who?,"411VM - Volume 14, Issue 1"
 King Khan & BBQ Show ," Blow My Top
",SPREADtheGOOD
 Greenhornes ," Don't Come Running To Me
",SPREADtheGOOD
  Der Tante Renate , Cardiac,Hello21 - Issue 4
 The Goons Of Doom , Napalm,Hello21 - Issue 4
  The Goons Of Doom , Long Haircut,Hello21 - Issue 4
 2 Mex And Life Rexall Are Smartyr , So Money,Hello21 - Issue 2
 Ellen McIlwaine , Higher Ground,Hello21 - Issue 2
 Max Roach , Tears For Johannesburg,Tengu: God Of Mischief
  Offspring , Me And My Old Lady,Oi!
  Tender Fury , When Love Died,Vision - Alphabet Soup
  Dana Lynn , Circle,Vision - Alphabet Soup
  Kerplunk , He Seny His Son,Vision - Alphabet Soup
 Wonderful Broken Thing , Roam Around,ON Video - Summer 2001
 Blonde Redhead , 10,ON Video - Summer 2001
 Bracket , Closed Caption,"411VM - Best Of 411, Volume 2"
 Extra Prolific , Cash Money,"411VM - Best Of 411, Volume 2"
 Fabi Siffre , I Got The,Environment
 Ratatat , Seventeen Years,Environment
 Bloq Party , Banquet,Environment
 Crash Course , Prince Of The City,411VM - Issue 1
 Uncle! , Piano Movers,411VM - Issue 1
 Sol , The Box Car,411VM - Hot Dogs On Wheels!
 Laboratory Noise , You Created A Storm,411VM - Hot Dogs On Wheels!
 M. Ward , Helicopter,411VM - Hot Dogs On Wheels!
  Circle Jerks , Paid Vacation,Sims - The 2nd Coming
  J.F.A. , Get Out Of My Sandbox,Sims - The 2nd Coming
  Sebadoh , Moldy Bread,Foundation - The Good Times Are Killing Me
  Modest Mouse , Dark Center Of The Universe,Foundation - The Good Times Are Killing Me
 Three 6 Mafia , Stay Fly,DC Europe - European Collective
 DJ Mutt , The Rabbi,Streets: Melbourne
 Mars Volta , Son Et Lumiere,Toy Machine - Berzerker
 Onili ," Game's Over (Kutiman Remix)
",LuVideo Mag - Issue 3
 Boom Pam ," Hatul Vehatula
",LuVideo Mag - Issue 3
 Nechi Nech , Don't Mix With Them,LuVideo Mag - Issue 3
 No Use For A Name , Exit,The Way Of The West
 Creepy , Powerless,The Way Of The West
  Sing Sing , Factory Singing,Skateboard Superstars
  Sing Sing , Back To Back,Skateboard Superstars
  Madvillainy , Meat grinder,"411VM - Volume 14, Issue 1"
 Greenhornes ," Too Much Sorrow
",SPREADtheGOOD
 The Goons Of Doom , She Wore Rat Skin Boots,Hello21 - Issue 4
 Baker Brothers , Spental,Hello21 - Issue 4
 Kashmere Stage Band , Superstrut,Hello21 - Issue 4
  Kerplunk , House Of Know One,Vision - Alphabet Soup
 Fugazi , Kyeo,ON Video - Summer 2001
 Red Stars Theory , Parts Per Million (remix),ON Video - Summer 2001
 Rhythm Collision , Now,"411VM - Best Of 411, Volume 2"
 Coolio , I Remember (instrumental),"411VM - Best Of 411, Volume 2"
 Ill Repute , Dat Marley Song,"411VM - Best Of 411, Volume 2"
 Lakeworth Peer , Flodizzy,Environment
 Supreme Love Gods , Nothing,411VM - Issue 1
 Hemi , Dog Tied Again,411VM - Issue 1
 DJ Zeph , The Get Down,411VM - Hot Dogs On Wheels!
 The Sounds , Hit Me!,411VM - Hot Dogs On Wheels!
  Blast , Then Again,Sims - The 2nd Coming
  Nirvana , Territorial Pissings,Sims - The 2nd Coming
  Calculator Man And Hanger , Call It Like Something,Foundation - The Good Times Are Killing Me
 Quiet Storm & Andre Nickatina , Mobb Deep,DC Europe - European Collective
 Dabrye , Air,DC Europe - European Collective
 Mars Volta , Inertiatic ESP,Toy Machine - Berzerker
 Liz Phair , Fuck & Run,Toy Machine - Berzerker
 Wilco , Pot Kettle Black,Toy Machine - Berzerker
 Rami Fortis , She Corrupted Us All,LuVideo Mag - Issue 3
 The Genders ," Rockin' In Ramallah
",LuVideo Mag - Issue 3
 Midnight Bombers , Bali Hounds,The Way Of The West
 Fancy Hair Dragons , Down In The Cellar,The Way Of The West
 White Fence , Who Feels Right,SPREADtheGOOD
 The Black Keys , The Only One,SPREADtheGOOD
 Soldiers By Twilight , Belive (the New Mastersounds Rmx),Hello21 - Issue 4
  Kerplunk , Group Control,Vision - Alphabet Soup
 MGMT , Time to Pretend,Shapes and Shadows
 God Is An Astronaut , Fragile,Shapes and Shadows
 Ben Harper , Ground On Down,"411VM - Best Of 411, Volume 2"
 Cranberries , I Can't Be With You,"411VM - Best Of 411, Volume 2"
 Shrinking Violets , Dead Popstars,"411VM - Best Of 411, Volume 2"
  The Eagles , Life In The Fast Lane,TSA - Life In The Fast Lane
 Tricky , Council Estate,Jungle Vol. 5
 Arctic Monkeys , Fluorescent Adolescent,Jungle Vol. 5
 Cunninlynguists , Fynquistics,Environment
 Talib Lowell , Joy,Environment
 Al Kooper & Stephen Stills , Session Of The Witch,Environment
 M.A.D. , Brainwashed,Consolidated - Goin' Bananas
 Shovelhead , Tired And Afraid,411VM - Issue 1
 Odd Numbers , So Many Girls,411VM - Issue 1
 Hemi , Freeloader,411VM - Issue 1
 Funky Beatniks , Morning Void,411VM - Issue 1
 Stefan Gruber , Fog Races,Villa Villa Cola - Getting Nowhere Faster
 of Montreal , Keep Sending Me Black Fireworks,411VM - Hot Dogs On Wheels!
 DJ Frame , I Can Do My Thang,411VM - Hot Dogs On Wheels!
 Pavement , Embassy Row,Transworld - Greatest Hits
  Butter 08 , Hard To Hold,Transworld - Greatest Hits
  Sebadoh , Magnets Coil,Foundation - The Good Times Are Killing Me
 Dabrye , The Stand,DC Europe - European Collective
 Dabrye , Pressure,DC Europe - European Collective
 Cab Kaye , Don't You Go Away,DC Europe - European Collective
  Fugazi , Closed Captioned,Toy Machine - Berzerker
  Husker Du , Something I Learned Today,Toy Machine - Berzerker
 Mashina ," What a Man?
",LuVideo Mag - Issue 3
 Western Addiction , I Tore My Hands Off In A Combine,The Way Of The West
 Tommy Gun & The Bullets , Something New,The Way Of The West
 The Black Angels ," You In Color
",SPREADtheGOOD
 Tonstartssbandht , Black Country,SPREADtheGOOD
  Shockwave , Lithuanian Surf,Vision - Alphabet Soup
  Angry Samoans , Lights Out,Vision - Alphabet Soup
 Rhymefest feat. Ol' Dirty Bastard , Build Me Up,Shapes and Shadows
 The Cars , Hello Again,Shapes and Shadows
 Donovan , Sunshine Superman,Shapes and Shadows
 The Concretes , Firewatch,Shapes and Shadows
 Mcm And The Monster , Big Black Cadillac,"411VM - Best Of 411, Volume 2"
 Ramones , I Don't Wanna Grow Up,"411VM - Best Of 411, Volume 2"
  Raekwon , Guillotinz (Swordz),TSA - Life In The Fast Lane
  James Brown , The Payback,TSA - Life In The Fast Lane
 Lems , Globe Trotter,Jungle Vol. 5
 Judas Priest , You've Got Another Thing Comin',Jungle Vol. 5
 Chase Vs Max Romeo , Chase The Devil (dnb version),Jungle Vol. 5
 Looptroop , Bandit Queen,Jungle Vol. 5
 Marlena Shaw , California Soul,Environment
 The Roots , Star / Pointro,Environment
 Otis Rush , My Love Will Never Die,Consolidated - Goin' Bananas
 Van Morrison , The Way Young Lovers Do,Consolidated - Goin' Bananas
 3% Fat , Causin Chaos,411VM - Issue 1
 Supreme Love Gods , Fire,411VM - Issue 1
 The Prids , Liorar,Villa Villa Cola - Getting Nowhere Faster
 Paradise Boys , Thunderbird,Villa Villa Cola - Getting Nowhere Faster
  Descendents , Rotting Out,Transworld - Greatest Hits
  Pop Sickle , Missing Something,Transworld - Greatest Hits
  Motorhead , Ace of Spades,101 - Snuff
  Brenton Wood , Gimme Little Sign,101 - Snuff
 Smarties , San Francisco,101 - Snuff
  Mudhoney , Into The Drink,Foundation - The Good Times Are Killing Me
 Jedi Mind Tricks & Andre Nickatina , Ghengis Khan,DC Europe - European Collective
 Lone Official , Bacon Creek,DC Europe - European Collective
 Idan K & The Movement Of Rhythm ," Better Man
",LuVideo Mag - Issue 3
 Rami Fortis ," This Generation 
",LuVideo Mag - Issue 3
 Coolooloosh ," People Of The Streets
",LuVideo Mag - Issue 3
 Channel 3 , Ready For Me,The Way Of The West
 The Shit Kickers , Trusty Steed,The Way Of The West
 Botany , Waterparker,SPREADtheGOOD
  LAPD , All My Life,Vision - Alphabet Soup
  Dana Lynn , Line Crush,Vision - Alphabet Soup
 Dion & The Belmonts , The Wanderer,Shapes and Shadows
 Frankie Lymon & The Teenagers , Why Do Fools Fall In Love,Shapes and Shadows
 T. Rex , Summertime Blues,Shapes and Shadows
 Mobb Deep , Cradle To The Grave,"411VM - Best Of 411, Volume 2"
 Fluf , Rooked,"411VM - Best Of 411, Volume 2"
  The Roots , Panic,TSA - Life In The Fast Lane
  Steve Miller Band , Fly Like An Eagle,TSA - Life In The Fast Lane
 Crown City Rockers , Forever Song,Jungle Vol. 5
 Cnn ," La La (feat. Khadafi, Prodigy)",Environment
 Tape Loop , Never An Easy Way,Environment
 The Shins , Sleeping Lessons,Consolidated - Goin' Bananas
 Spoon , I Summon You,Consolidated - Goin' Bananas
 RBL Posse , Bounce To This,Consolidated - Goin' Bananas
 Gibb Droll , Unfaithful Woman,411VM - Issue 1
 Anna Oxygen , Psychic Rainbow,Villa Villa Cola - Getting Nowhere Faster
  Overwhelming Colorfast , How It Should Be,Transworld - Greatest Hits
  Pulley , Eyes Open Wide,Transworld - Greatest Hits
  Wu,Tang Clan ,101 - Snuff
  Modest Mouse , Wild Pack Of Family Dogs,Foundation - The Good Times Are Killing Me
 Arik Einstein ," Drive Slow
",LuVideo Mag - Issue 3
 Idan K & The Movement Of Rhythm ," Change Got To Come
",LuVideo Mag - Issue 3
 The Cliftons , I'm Dead,The Way Of The West
 High Tower , 24th St. Dub,The Way Of The West
 The Shangri,Las ,Shapes and Shadows
 The Spinto Band , Crack The Whip,Shapes and Shadows
 Scarface , No Tears,Shapes and Shadows
  The Roots , Distortion To Static,Transworld - The Dreams of Children (unofficial)
